elevation,slope,aspect,tpi,ndvi,ndmi,ndwi,mndwi,ndfi,evi,ibi,ndbi,ui,mvi,nbr,savi,evi2,bui,kndvi
647,6,129,-7,6149,1094,-5216,-4372,5134,3395,3018,-1094,-3557,1404,3557,3206,3061,-7985,1665
578,9,156,3,7660,2811,-6875,-5040,8999,4354,7049,-2811,-6034,2177,6034,4076,3989,-10067,2707
544,3,135,6,7867,2617,-6892,-5217,8736,4366,6511,-2617,-5943,2035,5943,4109,4020,-10548,2694
689,5,112,-5,7306,1775,-6291,-5085,6703,4576,5850,-1775,-4774,1641,4774,4159,4097,-9635,3028
688,3,45,1,5642,515,-5357,-4978,3649,3167,-3166,-515,-3410,1166,3410,3036,2891,-8228,1547
575,11,265,-1,7674,2959,-6920,-4978,8949,4721,8247,-2959,-5950,2270,5950,4415,4384,-9727,3426
716,12,228,0,7125,1745,-6374,-5208,6918,4091,4317,-1745,-4741,1622,4741,3805,3696,-9408,2380
668,1,0,1,6141,999,-5538,-4804,4976,3501,1398,-999,-3898,1343,3898,3299,3163,-8494,1815
619,2,153,-2,6350,1203,-5494,-4593,5126,3777,4221,-1203,-3643,1436,3643,3605,3498,-8125,2311
689,5,202,1,7875,2928,-6946,-5041,8956,4792,8171,-2928,-5871,2244,5871,4455,4424,-9988,3418
648,1,90,3,6388,659,-5729,-5268,4960,3172,-2605,-659,-3736,1207,3736,3090,2929,-9139,1443
667,1,0,0,5858,1511,-5529,-4380,5640,3346,4463,-1511,-3725,1601,3725,3271,3143,-7131,1884
589,3,270,0,4617,226,-4948,-4773,2427,2443,-6768,-226,-2708,1073,2708,2468,2313,-6934,1018
607,5,225,-5,5844,104,-5325,-5253,2668,3106,-8565,-104,-2564,1030,2564,2971,2815,-8251,1400
519,3,45,1,6277,839,-6096,-5540,4886,3334,-1990,-839,-3706,1269,3706,3251,3108,-8736,1709
707,5,101,8,7836,2615,-6785,-5057,8451,5013,8000,-2615,-5708,2080,5708,4488,4464,-10194,3514
